CLP,ARS,0.91
CLP,USD,0.0011
CLP,EUR,0.0010
CLP,TRY,0.033
CLP,GBP,0.00088
ARS,TRY,0.037
ARS,CLP,1.10
ARS,USD,0.0012
ARS,EUR,0.0011
ARS,GBP,0.00097
USD,CLP,888.94
USD,ARS,811.20
USD,EUR,0.91
USD,TRY,29.82
USD,GBP,0.79
EUR,CLP,974.06 
EUR,ARS,888.87
EUR,USD,1.10  
EUR,TRY,32.68 
EUR,GBP,0.86
TRY,CLP,29.81 
TRY,ARS,27.20
TRY,USD,0.034
TRY,EUR,0.031
TRY,GBP,0.026
GBP,CLP,1,132.46
GBP,ARS,1,032.25
GBP,USD,1.27
GBP,EUR,1.16
GBP,TRY,37.95
